Education,Industry,JobTitle,Location,ExperienceYears,Certifications,SalaryUSD,PreviousCompanies,Age,Gender,RemoteOnsite,CompanySize,AdditionalBenefits
Masters,Tech,Fullstack Developer,Germany,9,0,232737,1,35,Male,Onsite,3416,StockOptions
Masters,Consulting,Software Engineer,Sri Lanka,10,2,26166,3,37,Male,Onsite,1693,Gym
Bachelors,Tech,Software Engineer,UK,8,2,125999,6,32,Male,Remote,801,HealthInsurance
Bachelors,Retail,Senior Software Engineer,India,15,0,43892,6,37,Female,Remote,128,FlexibleHours
Bachelors,Consulting,Lead Engineer,India,9,3,74283,5,37,Female,Remote,448,FlexibleHours
Bachelors,Finance,Data Scientist,USA,17,3,254908,8,40,Male,Remote,26,Retirement
Bachelors,Consulting,Fullstack Developer,UK,18,3,220180,3,40,Male,Remote,1843,Bonus;Retirement
Bachelors,Retail,Software Engineer,USA,18,5,127879,5,41,Female,Remote,12,CommuterSupport
Masters,Retail,Software Engineer,UK,11,0,140767,3,35,Female,Remote,2218,Gym
Bachelors,Retail,Senior Software Engineer,USA,17,4,217235,6,42,Male,Remote,146,StockOptions;Retirement
Bachelors,Tech,Data Scientist,Sri Lanka,4,1,23778,3,28,Male,Onsite,83,FlexibleHours
Diploma,Consulting,Software Engineer,Sri Lanka,7,3,23696,3,34,Male,Remote,883,CommuterSupport;Retirement
Bachelors,Finance,Data Scientist,Australia,3,4,236598,3,24,Male,Remote,4942,Retirement
Bachelors,Finance,Software Engineer,Sweden,18,3,218078,5,42,Male,Onsite,3775,Bonus
Masters,Healthcare,Software Architect,India,16,1,100953,6,40,Male,Onsite,3433,CommuterSupport
Bachelors,Retail,Fullstack Developer,USA,6,4,228660,2,33,Male,Onsite,59392,Retirement
Bachelors,Finance,Software Architect,Sri Lanka,11,3,68322,4,34,Male,Remote,64892,Retirement
Bachelors,Retail,Software Architect,USA,11,0,489412,7,38,Female,Hybrid,60887,FlexibleHours
Bachelors,Finance,Software Engineer,UK,5,5,133317,3,31,Male,Onsite,2276,Gym
Diploma,Consulting,Fullstack Developer,Australia,14,3,155880,5,38,Female,Onsite,173,None
Masters,Healthcare,Data Engineer,USA,2,2,153570,2,23,Male,Onsite,25,StockOptions;CommuterSupport
Masters,Retail,Software Architect,India,2,0,65567,1,26,Male,Onsite,2655,Gym
PhD,Tech,Senior Software Engineer,UK,1,0,152497,1,27,Female,Onsite,58,Gym;StockOptions
Masters,Tech,Senior Software Engineer,India,14,1,62823,5,40,Male,Onsite,275,HealthInsurance
Bachelors,Finance,Fullstack Developer,Germany,7,4,251441,1,31,Male,Remote,79753,Bonus
PhD,Consulting,Software Engineer,India,7,1,33272,3,34,Female,Onsite,106,Gym
Bachelors,Retail,Fullstack Developer,UK,7,0,133081,2,34,Female,Remote,1943,StockOptions
Masters,Healthcare,Software Engineer,UK,8,1,160108,0,32,Female,Remote,25060,Bonus
PhD,Consulting,Software Engineer,UK,14,4,137168,6,42,Female,Remote,24,Gym
Bachelors,Finance,Lead Engineer,Germany,11,0,313037,0,39,Male,Remote,898,HealthInsurance;StockOptions;CommuterSupport
Bachelors,Consulting,Fullstack Developer,India,2,3,59012,1,24,Male,Remote,5121,StockOptions
Bachelors,Healthcare,Fullstack Developer,Australia,11,5,203353,2,37,Female,Onsite,2211,FlexibleHours
Bachelors,Consulting,Data Scientist,Australia,1,5,196763,2,25,Male,Remote,1012,None
Masters,Retail,Software Engineer,India,15,1,56914,6,40,Male,Onsite,161864,Retirement
PhD,Finance,Senior Software Engineer,India,4,0,68093,3,32,Female,Onsite,17482,CommuterSupport
Bachelors,Healthcare,Senior Software Engineer,India,15,5,53972,3,42,Male,Remote,73,Retirement
Bachelors,Finance,Software Engineer,Australia,3,0,114728,0,32,Male,Remote,34,StockOptions
Bachelors,Retail,Software Engineer,India,2,3,31817,2,26,Female,Hybrid,47,Bonus
Bachelors,Healthcare,Software Engineer,UK,11,2,145033,4,32,Male,Remote,6999,FlexibleHours;Bonus
Bachelors,Healthcare,Senior Software Engineer,India,10,1,58186,3,34,Female,Onsite,26212,Gym;FlexibleHours
Bachelors,Finance,Fullstack Developer,Australia,12,4,185071,7,35,Male,Remote,111,Gym;FlexibleHours
Diploma,Consulting,Fullstack Developer,India,8,3,68185,4,32,Female,Remote,142957,Bonus;Gym
Bachelors,Consulting,Senior Software Engineer,USA,16,3,305692,4,40,Male,Remote,11297,Retirement
Bachelors,Tech,Software Engineer,Sweden,1,2,119163,1,26,Male,Remote,1743,HealthInsurance
Masters,Tech,Software Engineer,Germany,18,5,185350,4,45,Male,Remote,841,Retirement
Bachelors,Healthcare,Software Engineer,USA,8,3,157829,3,31,Male,Hybrid,4532,Gym
Diploma,Finance,Senior Software Engineer,Germany,7,1,216513,5,30,Female,Hybrid,46803,Gym;Bonus
Diploma,Healthcare,Senior Software Engineer,Germany,15,4,224017,10,41,Male,Remote,31599,Gym
Bachelors,Finance,Software Engineer,India,4,3,31513,2,28,Male,Onsite,16,Retirement
Bachelors,Retail,Data Scientist,India,5,5,74245,1,30,Male,Onsite,20894,StockOptions
Bachelors,Tech,Senior Software Engineer,USA,8,5,199148,5,33,Female,Remote,93,Retirement
Bachelors,Healthcare,Software Engineer,India,14,0,47034,4,38,Male,Onsite,111613,FlexibleHours
Bachelors,Retail,Senior Software Engineer,India,4,0,41434,2,26,Male,Remote,1287,HealthInsurance
Masters,Consulting,Software Engineer,USA,13,3,167844,7,38,Male,Onsite,45,CommuterSupport;Gym;FlexibleHours
Bachelors,Tech,Senior Software Engineer,Sweden,11,5,200415,5,32,Male,Onsite,104,Gym;Bonus
Bachelors,Finance,Software Engineer,USA,6,4,119135,2,32,Male,Onsite,14,FlexibleHours
Bachelors,Consulting,Software Engineer,India,14,2,67986,7,38,Female,Hybrid,177595,StockOptions
Diploma,Consulting,Senior Software Engineer,Sri Lanka,1,2,27970,1,23,Female,Remote,678,FlexibleHours;Retirement
Bachelors,Retail,Senior Software Engineer,USA,20,0,246751,4,46,Male,Remote,150,StockOptions;CommuterSupport
Bachelors,Healthcare,Software Engineer,Australia,5,1,113713,3,31,Male,Hybrid,1428,FlexibleHours;CommuterSupport;Gym
Bachelors,Healthcare,Fullstack Developer,India,19,4,59143,7,45,Male,Hybrid,1841,None
Diploma,Retail,Software Engineer,Australia,20,3,105054,6,44,Male,Onsite,42,None
Bachelors,Consulting,Fullstack Developer,Australia,17,5,189974,4,44,Female,Onsite,288,HealthInsurance
Masters,Tech,Software Engineer,India,1,2,52319,0,26,Female,Remote,158438,Retirement
Masters,Consulting,Software Engineer,Sri Lanka,2,0,16425,1,28,Male,Onsite,11345,None
Bachelors,Retail,Software Engineer,USA,8,1,132694,1,32,Male,Remote,1175,None
Masters,Consulting,Software Engineer,USA,20,2,294784,5,46,Male,Onsite,178302,HealthInsurance;Retirement;FlexibleHours
Bachelors,Consulting,Data Scientist,Germany,9,1,183579,2,31,Female,Hybrid,131,Bonus
Masters,Consulting,Software Engineer,India,4,4,61984,3,28,Female,Onsite,183941,Bonus
Masters,Consulting,Senior Software Engineer,Sri Lanka,3,5,31622,4,30,Male,Hybrid,213,None
Bachelors,Tech,Fullstack Developer,India,3,1,54939,3,25,Male,Remote,15640,FlexibleHours;Bonus
Bachelors,Finance,Senior Software Engineer,India,20,5,69670,7,41,Male,Remote,504,Gym
Masters,Finance,Software Engineer,India,14,1,71281,6,39,Female,Remote,38217,HealthInsurance
Bachelors,Healthcare,Fullstack Developer,USA,6,0,218224,2,32,Female,Remote,12199,None
Bachelors,Finance,Software Engineer,USA,17,1,243135,5,41,Non-binary,Hybrid,8069,Gym;StockOptions
Bachelors,Finance,Software Architect,UK,16,5,481558,8,43,Female,Onsite,130620,Gym
Masters,Finance,Senior Software Engineer,India,1,5,62702,1,25,Male,Remote,37,StockOptions
Masters,Consulting,Data Engineer,India,18,4,54103,7,42,Male,Hybrid,24,None
Bachelors,Consulting,Data Scientist,India,20,0,93199,4,45,Male,Onsite,126014,CommuterSupport
Bachelors,Tech,Fullstack Developer,Germany,15,1,264024,6,39,Male,Remote,42021,None
Bachelors,Consulting,Fullstack Developer,USA,9,0,196726,2,35,Male,Onsite,452,CommuterSupport;Retirement
Masters,Consulting,Lead Engineer,UK,2,5,174705,5,27,Male,Hybrid,46,FlexibleHours;HealthInsurance
Bachelors,Finance,Software Engineer,Sweden,15,1,130617,5,39,Male,Onsite,695,Gym
Masters,Tech,Fullstack Developer,Germany,0,3,141972,2,25,Male,Onsite,337,Bonus
Bachelors,Tech,Software Engineer,India,16,2,59169,9,45,Male,Hybrid,7745,Bonus;FlexibleHours
Diploma,Finance,Software Architect,India,11,0,93429,4,39,Male,Remote,9350,HealthInsurance;CommuterSupport
Bachelors,Finance,Fullstack Developer,India,12,2,66090,10,40,Female,Hybrid,3098,FlexibleHours
Bachelors,Tech,Fullstack Developer,India,18,3,43891,7,40,Male,Remote,18,FlexibleHours
Bachelors,Retail,Senior Software Engineer,USA,11,0,241063,3,35,Female,Remote,2457,CommuterSupport
Diploma,Finance,Software Engineer,USA,18,2,130845,8,46,Female,Remote,67,Gym
PhD,Finance,Fullstack Developer,UK,12,4,210365,3,36,Male,Onsite,362,FlexibleHours;Gym
Bachelors,Tech,Data Scientist,UK,18,2,180234,11,44,Male,Onsite,20,CommuterSupport
Masters,Retail,Fullstack Developer,UK,1,5,156602,0,26,Male,Onsite,3094,None
Masters,Retail,Fullstack Developer,India,13,3,76325,8,36,Female,Onsite,83662,Retirement
Masters,Healthcare,Data Engineer,India,9,3,74778,0,33,Male,Remote,1096,Bonus
Bachelors,Retail,Software Engineer,USA,19,4,181133,3,46,Male,Hybrid,1255,None
Bachelors,Finance,Fullstack Developer,India,15,0,63689,6,38,Male,Hybrid,1147,Bonus
Bachelors,Consulting,Software Engineer,India,5,2,35366,0,30,Male,Onsite,3196,None
PhD,Tech,Software Engineer,India,6,3,40634,3,32,Female,Remote,16,CommuterSupport;Gym
Diploma,Finance,Fullstack Developer,Sri Lanka,20,3,34951,5,44,Male,Remote,1419,CommuterSupport
Masters,Tech,Fullstack Developer,USA,1,5,202565,1,29,Female,Onsite,4486,Retirement;Gym
Bachelors,Retail,Software Engineer,India,0,3,26614,1,25,Female,Onsite,17,Bonus;CommuterSupport
Bachelors,Tech,Software Engineer,India,12,0,57972,4,34,Male,Remote,181314,Retirement
Masters,Finance,Fullstack Developer,India,19,2,69985,7,43,Male,Remote,491,CommuterSupport
PhD,Consulting,Data Scientist,Australia,20,5,341543,10,43,Male,Onsite,1688,None
PhD,Finance,Software Engineer,USA,19,1,235100,7,46,Male,Remote,777,HealthInsurance
Masters,Healthcare,Fullstack Developer,Australia,3,5,160850,1,26,Male,Remote,570,HealthInsurance;FlexibleHours
Masters,Tech,Lead Engineer,USA,2,0,232158,3,26,Male,Remote,123,Bonus;CommuterSupport
Bachelors,Finance,Senior Software Engineer,Sweden,3,5,225852,4,26,Female,Onsite,37688,CommuterSupport
Bachelors,Retail,Software Architect,USA,12,1,332704,2,37,Male,Remote,401,Gym;FlexibleHours;CommuterSupport
PhD,Retail,Lead Engineer,Sweden,14,3,335827,6,36,Female,Remote,1879,HealthInsurance;Bonus;Retirement
Masters,Finance,Fullstack Developer,Sri Lanka,9,2,41380,3,38,Female,Onsite,35801,Retirement
Bachelors,Healthcare,Data Engineer,Sri Lanka,16,5,47497,7,43,Male,Remote,26138,FlexibleHours
Bachelors,Tech,Data Engineer,USA,14,4,271067,4,40,Male,Hybrid,327,None
Masters,Healthcare,Lead Engineer,USA,18,5,542174,8,42,Male,Onsite,13270,Bonus;FlexibleHours
Bachelors,Consulting,Lead Engineer,India,18,2,111260,5,39,Male,Hybrid,68141,HealthInsurance
Bachelors,Finance,Fullstack Developer,Australia,14,4,280249,4,41,Male,Remote,31633,Gym
Bachelors,Healthcare,Senior Software Engineer,Australia,8,2,197597,3,32,Male,Hybrid,2116,Gym;HealthInsurance
Masters,Consulting,Fullstack Developer,USA,12,2,182450,2,37,Male,Onsite,55,HealthInsurance
Masters,Healthcare,Software Engineer,Australia,5,1,153751,3,28,Male,Hybrid,16808,Retirement;HealthInsurance
Bachelors,Consulting,Software Engineer,India,9,4,38108,3,32,Female,Remote,10,FlexibleHours;HealthInsurance
Masters,Retail,Software Architect,UK,0,4,228033,0,26,Female,Onsite,10291,StockOptions
Bachelors,Retail,Senior Software Engineer,Australia,15,4,193413,5,39,Male,Onsite,148,Bonus
Bachelors,Finance,Data Engineer,UK,10,2,313425,1,34,Male,Onsite,183095,FlexibleHours
Masters,Healthcare,Fullstack Developer,India,17,1,51546,6,40,Male,Onsite,160,CommuterSupport;FlexibleHours
Masters,Retail,Fullstack Developer,India,1,5,44155,2,24,Male,Remote,360,None
Masters,Tech,Software Engineer,India,1,1,34922,2,27,Female,Remote,55,StockOptions
Masters,Retail,Data Engineer,India,14,2,66138,5,37,Male,Remote,1044,Bonus
Masters,Retail,Fullstack Developer,UK,3,0,112522,3,30,Male,Remote,104,Gym
Bachelors,Healthcare,Software Engineer,USA,17,3,158865,8,41,Male,Remote,159,StockOptions
Bachelors,Consulting,Software Engineer,India,16,2,30627,7,43,Male,Hybrid,10,FlexibleHours
Bachelors,Tech,Senior Software Engineer,Sweden,14,0,186065,8,43,Male,Remote,52,Gym
Bachelors,Tech,Senior Software Engineer,Germany,14,4,201459,5,37,Male,Remote,311,HealthInsurance
Diploma,Consulting,Fullstack Developer,India,3,2,43977,1,24,Male,Remote,32,StockOptions
Bachelors,Healthcare,Data Engineer,Australia,7,3,214035,5,33,Male,Onsite,1947,FlexibleHours
PhD,Retail,Senior Software Engineer,UK,17,1,311355,4,41,Male,Remote,90474,HealthInsurance;Gym
Masters,Consulting,Software Engineer,USA,3,3,172842,1,28,Female,Hybrid,7626,Gym
Masters,Tech,Software Engineer,India,16,3,42908,6,42,Male,Remote,12,Bonus
Bachelors,Tech,Lead Engineer,UK,2,1,223331,0,28,Male,Onsite,2866,FlexibleHours
Masters,Retail,Software Architect,India,11,2,112374,2,37,Male,Remote,17406,HealthInsurance;Retirement
Bachelors,Retail,Fullstack Developer,USA,20,3,274844,4,48,Male,Remote,14613,Gym;CommuterSupport
Bachelors,Finance,Software Architect,Germany,5,3,196774,1,32,Female,Onsite,17,Gym
Masters,Consulting,Lead Engineer,India,20,5,103584,7,47,Male,Remote,1640,None
Bachelors,Retail,Software Engineer,USA,11,1,108586,2,36,Male,Remote,17,None
Bachelors,Finance,Software Engineer,Sweden,16,2,215584,4,40,Male,Remote,5905,None
Masters,Healthcare,Data Scientist,India,19,2,94520,7,48,Male,Hybrid,2232,Gym;StockOptions
Bachelors,Tech,Senior Software Engineer,Sri Lanka,3,4,47178,1,28,Male,Onsite,1890,FlexibleHours;StockOptions
Diploma,Consulting,Fullstack Developer,USA,4,1,175693,1,29,Female,Onsite,14119,FlexibleHours
Diploma,Healthcare,Fullstack Developer,UK,15,0,216542,4,39,Male,Onsite,104457,HealthInsurance
Diploma,Consulting,Fullstack Developer,India,10,2,30596,3,34,Male,Onsite,20,None
Bachelors,Consulting,Software Engineer,USA,2,0,102630,1,26,Female,Onsite,82,CommuterSupport
Bachelors,Retail,Data Engineer,India,14,4,81248,2,40,Male,Hybrid,3327,Bonus;CommuterSupport
Diploma,Finance,Fullstack Developer,UK,19,3,137197,3,40,Male,Remote,12,Bonus
Bachelors,Consulting,Lead Engineer,USA,19,3,268601,6,41,Female,Onsite,38,Retirement;StockOptions;CommuterSupport
Diploma,Healthcare,Fullstack Developer,USA,15,2,157809,1,37,Female,Onsite,88,Gym
Diploma,Consulting,Data Scientist,UK,14,1,141822,5,40,Female,Onsite,50,Bonus;Gym
PhD,Finance,Software Engineer,Sweden,2,4,172172,0,29,Male,Onsite,22676,CommuterSupport;Gym
Bachelors,Tech,Senior Software Engineer,UK,7,4,134866,4,32,Male,Hybrid,34,None
Bachelors,Consulting,Fullstack Developer,Sri Lanka,6,0,29564,3,33,Male,Onsite,9804,Bonus
PhD,Healthcare,Fullstack Developer,India,14,0,80673,6,43,Non-binary,Remote,8055,StockOptions;Retirement
Bachelors,Tech,Senior Software Engineer,UK,5,4,200587,2,27,Male,Remote,23906,Retirement
Bachelors,Tech,Fullstack Developer,Germany,1,5,147448,0,23,Female,Hybrid,512,Bonus
Masters,Retail,Data Engineer,Germany,10,4,271017,2,36,Male,Hybrid,36784,CommuterSupport;HealthInsurance
Diploma,Retail,Lead Engineer,India,9,3,47935,2,36,Male,Remote,86,FlexibleHours
Masters,Consulting,Software Engineer,UK,9,4,129956,3,34,Female,Remote,371,None
Masters,Healthcare,Senior Software Engineer,Germany,10,3,235801,5,33,Male,Remote,64501,Retirement
Bachelors,Retail,Data Scientist,USA,2,0,196572,2,27,Female,Remote,6060,HealthInsurance
Masters,Finance,Software Architect,UK,15,4,410746,8,37,Female,Remote,701,StockOptions
Diploma,Finance,Fullstack Developer,Sri Lanka,15,2,35366,7,40,Male,Hybrid,738,FlexibleHours;HealthInsurance
Bachelors,Tech,Fullstack Developer,USA,7,1,164066,5,35,Female,Remote,30,HealthInsurance
Bachelors,Tech,Software Engineer,India,14,3,36830,5,40,Female,Hybrid,20,Gym
PhD,Tech,Software Engineer,India,18,4,51141,6,39,Male,Onsite,96,Gym
Masters,Finance,Software Architect,India,2,1,70792,2,29,Male,Hybrid,595,None
Masters,Retail,Senior Software Engineer,Australia,4,0,142966,1,27,Male,Remote,62,CommuterSupport
Masters,Retail,Data Engineer,USA,12,2,191422,3,40,Male,Onsite,15,Bonus
Bachelors,Consulting,Software Architect,India,8,4,90714,4,34,Male,Onsite,2919,Retirement
Bachelors,Healthcare,Senior Software Engineer,India,13,4,76113,4,37,Female,Hybrid,47840,CommuterSupport
Masters,Finance,Senior Software Engineer,Germany,4,5,215687,3,31,Male,Onsite,1908,HealthInsurance
Masters,Tech,Software Engineer,India,18,0,52945,7,43,Female,Remote,3243,CommuterSupport
PhD,Healthcare,Data Scientist,Sri Lanka,10,0,53898,6,32,Female,Onsite,15864,StockOptions;Gym
Diploma,Tech,Data Scientist,Sweden,18,5,217113,6,44,Female,Hybrid,137,CommuterSupport
Bachelors,Healthcare,Software Engineer,Sri Lanka,1,5,35829,5,24,Female,Remote,2309,Bonus
